iter	RMSE
0	0.9174869365
1	0.8745379011
2	0.8337569356
3	0.7954017371
4	0.7585677272
5	0.723554962866	0.690489813377	0.65916842688	0.6292103878
9	0.600652026
10	0.5736942366
11	0.5478343634
12	0.5233836836
13	0.500151316
14	0.4778225103
15	0.4568736492
16	0.4368725914
17	0.4177927797
18	0.3999745691
19	0.3828194567
20	0.3662834038
21	0.3505146057
22	0.335867623	0.3224183703
24	0.3091058895
25	0.296506101
26	0.2843645802
27	0.2728902581
28	0.2621379804
29	0.2519360631
30	0.2423839031
31	0.2329985107
32	0.2239854221
33	0.2156312211
34	0.2077841985
35	0.2002157557
36	0.1930933041
37	0.186154356
38	0.17964578
39	0.1735271987
40	0.1675885286
41	0.1619825819
42	0.156513045
43	0.1514090565
44	0.1467238433
45	0.1422413334
46	0.1380781789
47	0.1340520663
48	0.1302271349
49	0.1264801529
50	0.1229841726
51	0.1198124985
52	0.1167078813
53	0.1137700865
54	0.1111381757
55	0.1085470257
56	0.1060139468
57	0.1036704037
58	0.1015598685
59	0.09947389046
60	0.09751387796
61	0.09572446968
62	0.09397698659
63	0.09246629448
64	0.09085227865
65	0.08945085491
66	0.08818263464
67	0.08687434609
68	0.08557289627
69	0.08442197798
70	0.08340905371
71	0.08243619233
72	0.08142935001
73	0.08051976901
74	0.07971060432
75	0.07885810576
76	0.07812108639
77	0.07742467085
78	0.0767928914
79	0.07610318741
80	0.07551365243
81	0.07499832258
82	0.07441262317
83	0.07388039172
84	0.07340118387
85	0.07295265255
86	0.0724958114
87	0.07204301906
88	0.07159634537
89	0.0712040066
90	0.07086873304
91	0.07051075791
92	0.07020300369
93	0.0698955723
94	0.06963430467
95	0.06933688522
96	0.06907092797
97	0.06881978337
98	0.06859477345
99	0.06837487607
100	0.06817066896
101	0.06794324636
102	0.06775777614
103	0.0675392326
104	0.067345882
105	0.0671873992
106	0.06703728648
107	0.06689277645
108	0.06675694282
109	0.06662103235
110	0.06650179072
111	0.0663949879
112	0.0662140168
113	0.06607253895
114	0.06594927765
115	0.06584395967
116	0.06574361939
117	0.06561699337
118	0.06548114894
119	0.06536588604
120	0.0652822939
121	0.06520206651
122	0.06512230868
123	0.06505070467
124	0.0649645217
125	0.0648854209
126	0.06481787501
127	0.0647278432
128	0.06464676328
129	0.06458224304
130	0.06450765743
131	0.0644400747
132	0.06438297779
133	0.06431282488
134	0.06426275919
135	0.06421251803
136	0.0641523107
137	0.06410760652
138	0.06405980339
139	0.06398720718
140	0.06394457246
141	0.0639009277
142	0.06386464195
143	0.06380422404
144	0.06376703566
145	0.06371581451
146	0.06367769582
147	0.06364032012
148	0.06358976961
149	0.06355539845
150	0.06349154043
151	0.06345259831
152	0.06341249058
153	0.06338574764
154	0.06335330572
155	0.06331862853
156	0.0632799487
157	0.06325282661
158	0.06319641796
159	0.06315791696
160	0.06312055718
161	0.06308088448
162	0.06305840344
163	0.06303752792
164	0.0630179869
165	0.06298528515
166	0.06295417385
167	0.06292687359
168	0.06288790634
169	0.06285968303
170	0.06283839038
171	0.06280358165
172	0.06277293972
173	0.06274573165
174	0.06272571194
175	0.0627007798
176	0.06268001219
177	0.06265479468
178	0.06263643748
179	0.06260242922
180	0.06258458352
181	0.06256753213
182	0.06253588948
183	0.0625123766
184	0.06249025276
185	0.06247268879
186	0.06245877815
187	0.06244787078
188	0.06242775712
189	0.06240341309
190	0.06237262797
191	0.0623569147
192	0.06234142527
193	0.06231447567
194	0.06228814634
195	0.06226021299
196	0.06224468457
197	0.06222029942
198	0.06221075316
199	0.06218530152
200	0.06216790218
201	0.06214166634
202	0.06211514703
203	0.06209319115
204	0.0620775693
205	0.06205447652
206	0.06201596031
207	0.06199151323
208	0.06198153473
209	0.06196676881
210	0.06194500362
211	0.06193249974
212	0.06192436208
213	0.06190342099
214	0.06187832312
215	0.06186087034
216	0.06184996027
217	0.06182412801
218	0.06179499397
219	0.06177716038
220	0.06175025265
221	0.06173621703
222	0.06171809507
223	0.06170265276
224	0.06169032653
225	0.06167456002
226	0.0616605419
227	0.06164781966
228	0.0616317533
229	0.06161131232
230	0.06159958747
231	0.0615871457
232	0.06157451925
233	0.06154598442
234	0.0615394867
235	0.06152052865
236	0.06150427095
237	0.06147528064
238	0.06146302573
239	0.0614433958
240	0.06142983263
241	0.06141758082
242	0.06139199872
243	0.06137834319
244	0.06134837409
245	0.0613344802
246	0.0613242507
247	0.0613020005
248	0.06128097481
249	0.06126801197
250	0.06125076846
251	0.06123586643
252	0.0612221692
253	0.0612048205
254	0.06119088381
255	0.06116326024
256	0.06115222693
257	0.06113827141
258	0.06112769858
259	0.06111161806
260	0.06109460303
261	0.06108856731
262	0.0610747974
263	0.06105424287
264	0.06103656144
265	0.06102329314
266	0.06100826436
267	0.06099568867
268	0.06097814099
269	0.06096880292
270	0.06095812483
271	0.06094401696
272	0.06093090143
273	0.06091369695
274	0.06090243154
275	0.06088830081
276	0.06087275588
277	0.06086012454
278	0.06084173752
279	0.06082367662
280	0.06081353444
281	0.06080099194
282	0.06078867262
283	0.06077505807
284	0.06076202206
285	0.06074702235
286	0.06073819046
287	0.06072943884
288	0.06071467886
289	0.0607004965
290	0.06068538852
291	0.06067492373
292	0.0606632853
293	0.06065121409
294	0.06064025887
295	0.06063131541
296	0.06061796655
297	0.06060574221
298	0.06059563914
299	0.06058616108
300	0.06057194966
301	0.06056139009
302	0.06055402709
303	0.06054541897
304	0.06053542707
305	0.06052743139
306	0.06051916115
307	0.06050551024
308	0.06049346976
309	0.06048205395
310	0.06046634258
311	0.060454361
312	0.06044534555
313	0.06043409787
314	0.06042316096
315	0.06041296689
